time,acc_x,acc_y,acc_z
18:56:21.470,0.20972,-0.04395,-0.18628;
18:56:21.480,0.16040,-0.00146,-0.15186;
18:56:21.490,0.07617,0.11768,-0.09424;
18:56:21.500,0.03687,0.15186,0.03882;
18:56:21.510,-0.00098,0.16260,0.18750;
18:56:21.520,-0.00415,0.24854,0.22363;
18:56:21.530,0.04834,0.35522,0.22729;
18:56:21.540,0.12402,0.43237,0.18262;
18:56:21.550,0.14990,0.42041,0.11694;
18:56:21.560,0.12451,0.37061,0.13867;
18:56:21.570,0.09863,0.39307,0.20313;
18:56:21.580,0.08472,0.41577,0.33350;
18:56:21.590,0.10693,0.51196,0.45435;
18:56:21.600,0.13135,0.59155,0.63281;
18:56:21.610,0.13403,0.65918,0.77222;
18:56:21.620,0.20630,1.35547,0.50293;
18:56:21.630,0.17700,1.45801,0.41846;
18:56:21.640,0.34521,1.60205,-0.10449;
18:56:21.650,0.25635,1.55396,-0.23145;
18:56:21.660,0.24902,1.47583,-0.17920;
18:56:21.670,0.27539,1.35913,-0.11816;
18:56:21.680,0.32446,1.37476,-0.15405;
18:56:21.690,0.35767,1.58423,-0.23804;
18:56:21.700,0.36792,1.43774,-0.27661;
18:56:21.710,0.28857,1.29761,-0.22534;
18:56:21.720,0.14795,1.31934,-0.09277;
18:56:21.730,0.03076,1.04590,0.15625;
18:56:21.740,-0.05322,0.64771,0.43384;
18:56:21.750,0.04028,1.30054,-0.21655;
18:56:21.760,0.10083,1.00684,-0.25464;
18:56:21.770,0.10010,0.67065,-0.08203;
18:56:21.780,0.06934,0.71875,0.35767;
18:56:21.790,0.30176,0.80542,0.47290;
18:56:21.800,0.36670,0.85889,0.44360;
18:56:21.810,0.40649,0.85571,0.33594;
18:56:21.820,0.29517,0.72998,0.46509;
18:56:21.830,0.61353,0.84204,0.37646;
18:56:21.840,0.59961,0.65088,0.34521;
18:56:21.850,0.55396,0.55322,0.30127;
18:56:21.860,0.50854,0.54858,0.28003;
18:56:21.870,0.49878,0.65015,0.32983;
18:56:21.880,0.52930,0.67554,0.44116;
18:56:21.890,0.55200,0.69312,0.51196;
18:56:21.900,0.58960,0.72583,0.51074;
18:56:21.910,0.62842,0.71558,0.45581;
18:56:21.920,0.62720,0.61279,0.37769;
18:56:21.930,0.60693,0.49731,0.33838;
18:56:21.940,0.60669,0.45508,0.33179;
18:56:21.950,0.63623,0.59082,0.23438;
18:56:21.960,0.69531,0.37769,0.46729;
18:56:21.970,0.71533,0.43164,0.48291;
18:56:21.980,0.78076,0.45288,0.56201;
18:56:21.990,0.94312,0.65430,0.51807;
18:56:22.000,0.95947,0.62549,0.48169;
18:56:22.010,0.94189,0.56323,0.47119;
18:56:22.020,0.93311,0.47583,0.53149;
18:56:22.030,0.99927,0.55591,0.63379;
18:56:22.040,0.92993,0.49487,0.53003;
18:56:22.050,0.91406,0.49609,0.48682;
18:56:22.060,0.91553,0.47852,0.44531;
18:56:22.070,0.90088,0.46240,0.40503;
18:56:22.080,0.88062,0.43237,0.41699;
18:56:22.090,0.87109,0.37646,0.51147;
18:56:22.100,0.86133,0.34766,0.66724;
18:56:22.110,0.86255,0.39331,0.81958;
18:56:22.120,0.87891,0.41382,0.91870;
18:56:22.130,0.89209,0.39575,0.92920;
18:56:22.140,0.88940,0.40015,0.82080;
18:56:22.150,0.89087,0.41357,0.65186;
18:56:22.160,0.93408,0.36450,0.54126;
18:56:22.170,0.95166,0.30225,0.58472;
18:56:22.180,0.92871,0.27124,0.66479;
18:56:22.190,0.91162,0.27441,0.75854;
18:56:22.200,0.89941,0.30347,0.78833;
18:56:22.210,0.87183,0.39209,0.73169;
18:56:22.220,0.83325,0.45410,0.66553;
18:56:22.230,0.79224,0.42188,0.60620;
18:56:22.240,0.77979,0.36890,0.49878;
18:56:22.250,0.77612,0.29932,0.48730;
18:56:22.260,0.78442,0.28735,0.52148;
18:56:22.270,0.78906,0.31836,0.53760;
18:56:22.280,0.78931,0.33716,0.61548;
18:56:22.290,0.78223,0.26343,0.78320;
18:56:22.300,0.78784,0.23608,0.86353;
18:56:22.310,0.82690,0.23535,0.84033;
18:56:22.320,0.82642,0.25928,0.72095;
18:56:22.330,0.82788,0.30298,0.60962;
18:56:22.340,0.81763,0.32275,0.58496;
18:56:22.350,0.84497,0.32300,0.62817;
18:56:22.360,0.84595,0.18677,0.77515;
18:56:22.370,0.83618,0.13135,0.81348;
18:56:22.380,0.89307,0.13770,0.85083;
18:56:22.390,0.86279,0.13208,0.90039;
18:56:22.400,0.85303,-0.06445,0.83423;
18:56:22.410,0.83862,-0.02271,0.77881;
18:56:22.420,0.75830,-0.01294,0.75439;
18:56:22.430,0.66650,0.07837,0.65405;
