time,acc_x,acc_y,acc_z
19:36:19.241,-0.40430,-0.04419,-0.91406;
19:36:19.251,-0.40771,-0.04126,-0.91040;
19:36:19.261,-0.40723,-0.04053,-0.91479;
19:36:19.271,-0.40625,-0.04199,-0.91846;
19:36:19.281,-0.40649,-0.04028,-0.92163;
19:36:19.291,-0.40454,-0.04028,-0.92334;
19:36:19.301,-0.40405,-0.03931,-0.92432;
19:36:19.311,-0.40356,-0.03735,-0.91919;
19:36:19.321,-0.40552,-0.03491,-0.91211;
19:36:19.331,-0.40723,-0.03345,-0.91260;
19:36:19.341,-0.40967,-0.03003,-0.91235;
19:36:19.351,-0.41260,-0.02930,-0.90894;
19:36:19.361,-0.40967,-0.03345,-0.90845;
19:36:19.371,-0.41040,-0.02661,-0.90723;
19:36:19.381,-0.41113,-0.02734,-0.91040;
19:36:19.391,-0.40747,-0.03833,-0.91431;
19:36:19.401,-0.40405,-0.04346,-0.91162;
19:36:19.411,-0.40918,-0.03564,-0.91235;
19:36:19.421,-0.40820,-0.03540,-0.91162;
19:36:19.431,-0.40503,-0.03320,-0.91064;
19:36:19.441,-0.40747,-0.02783,-0.90796;
19:36:19.451,-0.40820,-0.03662,-0.91138;
19:36:19.461,-0.40771,-0.04736,-0.91260;
19:36:19.471,-0.40698,-0.04370,-0.91577;
19:36:19.481,-0.40625,-0.04688,-0.92041;
19:36:19.491,-0.40405,-0.05127,-0.91846;
19:36:19.501,-0.40503,-0.04370,-0.91748;
19:36:19.511,-0.40625,-0.04224,-0.91626;
19:36:19.521,-0.40332,-0.04419,-0.91943;
19:36:19.531,-0.40552,-0.04199,-0.91406;
19:36:19.541,-0.40454,-0.03784,-0.91187;
19:36:19.551,-0.40771,-0.03711,-0.90967;
19:36:19.561,-0.40723,-0.03369,-0.91284;
19:36:19.571,-0.40918,-0.02808,-0.90820;
19:36:19.581,-0.41064,-0.03687,-0.91309;
19:36:19.591,-0.40796,-0.03467,-0.91309;
19:36:19.601,-0.40649,-0.03809,-0.91187;
19:36:19.611,-0.40771,-0.03711,-0.91040;
19:36:19.621,-0.40601,-0.04541,-0.90894;
19:36:19.631,-0.40527,-0.04492,-0.90942;
19:36:19.641,-0.40723,-0.03809,-0.90771;
19:36:19.651,-0.40723,-0.04199,-0.91016;
19:36:19.661,-0.40527,-0.05151,-0.91724;
19:36:19.671,-0.40161,-0.05420,-0.92041;
19:36:19.681,-0.40161,-0.04907,-0.91724;
19:36:19.691,-0.40332,-0.05225,-0.91943;
19:36:19.701,-0.40137,-0.05786,-0.92578;
19:36:19.711,-0.40088,-0.05347,-0.91870;
19:36:19.721,-0.40039,-0.05420,-0.91772;
19:36:19.731,-0.40063,-0.05640,-0.92041;
19:36:19.741,-0.40381,-0.05444,-0.92041;
19:36:19.751,-0.40454,-0.05322,-0.92261;
19:36:19.761,-0.40356,-0.05444,-0.92212;
19:36:19.771,-0.40210,-0.05103,-0.91992;
19:36:19.781,-0.40137,-0.05493,-0.92212;
19:36:19.791,-0.40015,-0.05884,-0.92212;
19:36:19.801,-0.39990,-0.05298,-0.92163;
19:36:19.811,-0.40063,-0.05396,-0.92407;
19:36:19.821,-0.40186,-0.06055,-0.92847;
19:36:19.831,-0.39966,-0.05688,-0.92725;
19:36:19.841,-0.39893,-0.05493,-0.92700;
19:36:19.851,-0.39966,-0.06152,-0.93164;
19:36:19.861,-0.40332,-0.05005,-0.92847;
19:36:19.871,-0.40332,-0.02832,-0.94434;
19:36:19.881,-0.40381,-0.01929,-0.93555;
19:36:19.891,-0.40796,-0.02588,-0.92236;
19:36:19.901,-0.41431,-0.03857,-0.91284;
19:36:19.911,-0.41260,-0.03516,-0.89624;
19:36:19.921,-0.42236,-0.01221,-0.89575;
19:36:19.931,-0.42505,0.00928,-0.89771;
19:36:19.941,-0.42310,0.01660,-0.88745;
19:36:19.951,-0.43066,0.02686,-0.86938;
19:36:19.961,-0.44531,0.04590,-0.85083;
19:36:19.971,-0.45874,0.04785,-0.83594;
19:36:19.981,-0.46069,0.03931,-0.83032;
19:36:19.991,-0.45288,0.03174,-0.82715;
19:36:20.001,-0.44531,0.01953,-0.82495;
19:36:20.011,-0.44727,0.01416,-0.82275;
19:36:20.021,-0.44727,0.00928,-0.81909;
19:36:20.031,-0.44507,0.00122,-0.82983;
19:36:20.041,-0.43555,-0.00073,-0.84692;
19:36:20.051,-0.42163,-0.01001,-0.87134;
19:36:20.061,-0.41919,-0.01758,-0.89087;
19:36:20.071,-0.41382,-0.02710,-0.89551;
19:36:20.081,-0.40942,-0.03906,-0.89673;
19:36:20.091,-0.39941,-0.06934,-0.90747;
19:36:20.101,-0.38574,-0.09302,-0.92456;
19:36:20.111,-0.38086,-0.12231,-0.92578;
19:36:20.121,-0.37231,-0.13501,-0.94189;
19:36:20.131,-0.36108,-0.13916,-0.96240;
19:36:20.141,-0.35352,-0.14453,-0.96191;
19:36:20.151,-0.34644,-0.12866,-0.96582;
19:36:20.161,-0.34741,-0.13477,-0.97583;
19:36:20.171,-0.34497,-0.14038,-0.99707;
19:36:20.181,-0.32422,-0.12231,-1.01904;
19:36:20.191,-0.32617,-0.11597,-1.01636;
19:36:20.201,-0.33252,-0.13916,-0.99023;
19:36:20.211,-0.33740,-0.14380,-0.97925;
19:36:20.221,-0.34863,-0.12695,-0.97119;
19:36:20.231,-0.35669,-0.11182,-0.96558;
19:36:20.241,-0.36133,-0.11646,-0.95508;
19:36:20.251,-0.36499,-0.10791,-0.94751;
19:36:20.261,-0.36450,-0.09277,-0.93066;
19:36:20.271,-0.37451,-0.07666,-0.92285;
19:36:20.281,-0.38623,-0.06396,-0.92188;
19:36:20.291,-0.38745,-0.04150,-0.91748;
19:36:20.301,-0.39209,-0.02661,-0.90845;
19:36:20.311,-0.39453,-0.03101,-0.90332;
19:36:20.321,-0.39307,-0.03125,-0.89648;
19:36:20.331,-0.39746,-0.03174,-0.89233;
19:36:20.341,-0.40088,-0.02563,-0.88745;
19:36:20.351,-0.40308,-0.02612,-0.88599;
19:36:20.361,-0.40527,-0.02759,-0.88965;
19:36:20.371,-0.40454,-0.02124,-0.89282;
19:36:20.381,-0.40649,-0.01392,-0.88477;
19:36:20.391,-0.40405,-0.02637,-0.89404;
19:36:20.401,-0.40430,-0.03003,-0.88745;
19:36:20.411,-0.40381,-0.02002,-0.89307;
19:36:20.421,-0.39868,-0.02710,-0.90356;
19:36:20.431,-0.39697,-0.04272,-0.90796;
19:36:20.441,-0.39893,-0.03638,-0.90869;
19:36:20.451,-0.40308,-0.02783,-0.91162;
19:36:20.461,-0.39990,-0.03467,-0.91528;
19:36:20.471,-0.39673,-0.04150,-0.91724;
19:36:20.481,-0.39795,-0.04297,-0.91943;
19:36:20.491,-0.39624,-0.04346,-0.91577;
19:36:20.501,-0.39526,-0.04272,-0.92188;
19:36:20.511,-0.39209,-0.04736,-0.92578;
19:36:20.521,-0.39063,-0.05273,-0.92896;
19:36:20.531,-0.39307,-0.05420,-0.93066;
19:36:20.541,-0.39233,-0.05029,-0.92847;
19:36:20.551,-0.39063,-0.04590,-0.92725;
19:36:20.561,-0.39233,-0.04663,-0.92627;
19:36:20.571,-0.39233,-0.04688,-0.92725;
19:36:20.581,-0.39087,-0.04150,-0.92627;
19:36:20.591,-0.39160,-0.04053,-0.92480;
19:36:20.601,-0.39258,-0.03491,-0.92090;
19:36:20.611,-0.39307,-0.04077,-0.91943;
19:36:20.621,-0.39551,-0.03955,-0.92188;
19:36:20.631,-0.39697,-0.03076,-0.91797;
19:36:20.641,-0.39771,-0.03027,-0.91309;
19:36:20.651,-0.39648,-0.02759,-0.91357;
19:36:20.661,-0.39795,-0.03027,-0.91479;
19:36:20.671,-0.39990,-0.03149,-0.91382;
19:36:20.681,-0.40039,-0.02881,-0.91479;
19:36:20.691,-0.40161,-0.02832,-0.91748;
19:36:20.701,-0.40137,-0.03003,-0.91382;
19:36:20.711,-0.39941,-0.02905,-0.91113;
19:36:20.721,-0.39795,-0.02832,-0.91162;
19:36:20.731,-0.39917,-0.03198,-0.91260;
19:36:20.741,-0.39917,-0.03320,-0.91016;
19:36:20.751,-0.39941,-0.02979,-0.91064;
19:36:20.761,-0.39771,-0.03906,-0.91504;
19:36:20.771,-0.39795,-0.03687,-0.91577;
19:36:20.781,-0.39771,-0.03857,-0.91943;
19:36:20.791,-0.39673,-0.04248,-0.92358;
19:36:20.801,-0.39551,-0.04688,-0.92407;
19:36:20.811,-0.39453,-0.04443,-0.92261;
19:36:20.821,-0.39331,-0.04663,-0.92334;
19:36:20.831,-0.39355,-0.04712,-0.92554;
19:36:20.841,-0.39429,-0.04443,-0.92212;
19:36:20.851,-0.39453,-0.03882,-0.92334;
19:36:20.861,-0.39673,-0.03931,-0.92188;
19:36:20.871,-0.39624,-0.04248,-0.92505;
19:36:20.881,-0.39624,-0.03882,-0.92480;
19:36:20.891,-0.39478,-0.03687,-0.92212;
19:36:20.901,-0.39404,-0.03833,-0.92456;
19:36:20.911,-0.39648,-0.03589,-0.91943;
19:36:20.921,-0.39673,-0.02954,-0.91870;
19:36:20.931,-0.39648,-0.03345,-0.91724;
19:36:20.941,-0.39819,-0.03516,-0.91455;
19:36:20.951,-0.39966,-0.03149,-0.91284;
19:36:20.961,-0.39893,-0.02832,-0.91162;
19:36:20.971,-0.39844,-0.03125,-0.91235;
19:36:20.981,-0.39917,-0.03271,-0.91382;
19:36:20.991,-0.39819,-0.03003,-0.91211;
19:36:21.001,-0.39746,-0.03491,-0.90991;
19:36:21.011,-0.39673,-0.03857,-0.91089;
19:36:21.021,-0.39624,-0.03638,-0.91870;
19:36:21.031,-0.39380,-0.03857,-0.91870;
19:36:21.041,-0.39453,-0.03979,-0.92041;
19:36:21.051,-0.39404,-0.04785,-0.92261;
19:36:21.061,-0.39258,-0.04590,-0.92383;
19:36:21.071,-0.39233,-0.04370,-0.92676;
19:36:21.081,-0.39160,-0.04565,-0.92749;
19:36:21.091,-0.39185,-0.04858,-0.92114;
19:36:21.101,-0.39429,-0.04077,-0.91943;
19:36:21.111,-0.39282,-0.03955,-0.91650;
19:36:21.121,-0.39551,-0.04102,-0.91626;
19:36:21.131,-0.39771,-0.03979,-0.91309;
19:36:21.141,-0.39746,-0.03320,-0.91479;
19:36:21.151,-0.39746,-0.03394,-0.91675;
19:36:21.161,-0.39624,-0.03662,-0.91626;
19:36:21.171,-0.39502,-0.03320,-0.91821;
19:36:21.181,-0.39697,-0.03394,-0.92017;
19:36:21.191,-0.39771,-0.03394,-0.91943;
19:36:21.201,-0.39893,-0.03662,-0.91577;
19:36:21.211,-0.39746,-0.03491,-0.91992;
19:36:21.221,-0.39331,-0.03247,-0.92407;
19:36:21.231,-0.39282,-0.03540,-0.92188;
19:36:21.241,-0.39111,-0.03491,-0.91821;
19:36:21.251,-0.39233,-0.03760,-0.91650;
19:36:21.261,-0.39502,-0.04126,-0.91968;
19:36:21.271,-0.39526,-0.04736,-0.92163;
19:36:21.281,-0.39453,-0.04541,-0.92334;
19:36:21.291,-0.39453,-0.04150,-0.92041;
19:36:21.301,-0.39478,-0.04736,-0.92139;
19:36:21.311,-0.39258,-0.05273,-0.92188;
19:36:21.321,-0.39258,-0.04980,-0.92041;
19:36:21.331,-0.39355,-0.05273,-0.92383;
19:36:21.341,-0.39185,-0.05371,-0.92456;
19:36:21.351,-0.39380,-0.04492,-0.92236;
19:36:21.361,-0.39453,-0.04834,-0.92212;
19:36:21.371,-0.39282,-0.04297,-0.92114;
19:36:21.381,-0.39209,-0.04443,-0.92285;
19:36:21.391,-0.39404,-0.05078,-0.92432;
19:36:21.401,-0.39233,-0.04858,-0.92212;
19:36:21.411,-0.39136,-0.04126,-0.92456;
19:36:21.421,-0.39014,-0.04150,-0.92749;
19:36:21.431,-0.38892,-0.04468,-0.92554;
19:36:21.441,-0.39258,-0.04199,-0.92236;
19:36:21.451,-0.39673,-0.04565,-0.92383;
19:36:21.461,-0.39526,-0.04785,-0.92554;
19:36:21.471,-0.39722,-0.04053,-0.92212;
19:36:21.481,-0.39844,-0.03345,-0.91870;
19:36:21.491,-0.39648,-0.03711,-0.91870;
19:36:21.501,-0.39819,-0.04614,-0.91455;
19:36:21.511,-0.39990,-0.04395,-0.91724;
19:36:21.521,-0.40137,-0.03662,-0.91260;
19:36:21.531,-0.40332,-0.02905,-0.91016;
19:36:21.541,-0.40186,-0.02124,-0.91113;
19:36:21.551,-0.39893,-0.02319,-0.91138;
19:36:21.561,-0.39722,-0.02319,-0.90747;
19:36:21.571,-0.39722,-0.01733,-0.90479;
19:36:21.581,-0.40308,-0.01904,-0.90479;
19:36:21.591,-0.40381,-0.02515,-0.90845;
19:36:21.601,-0.40601,-0.02417,-0.90894;
19:36:21.611,-0.40649,-0.01660,-0.90552;
19:36:21.621,-0.40674,-0.00757,-0.90259;
19:36:21.631,-0.40967,-0.00269,-0.90137;
19:36:21.641,-0.40674,-0.01050,-0.90723;
19:36:21.651,-0.40039,-0.02881,-0.91699;
19:36:21.661,-0.40186,-0.03955,-0.91919;
19:36:21.671,-0.40234,-0.03076,-0.91870;
19:36:21.681,-0.39624,-0.04077,-0.92651;
19:36:21.691,-0.39600,-0.05273,-0.92603;
19:36:21.701,-0.39526,-0.04688,-0.92627;
19:36:21.711,-0.39160,-0.05469,-0.93384;
19:36:21.721,-0.39160,-0.06348,-0.93799;
19:36:21.731,-0.39355,-0.06421,-0.93652;
19:36:21.741,-0.39209,-0.06055,-0.93628;
19:36:21.751,-0.39331,-0.06079,-0.93359;
19:36:21.761,-0.39307,-0.05298,-0.92993;
19:36:21.771,-0.39551,-0.04614,-0.92749;
19:36:21.781,-0.39575,-0.04053,-0.92725;
19:36:21.791,-0.39478,-0.03442,-0.92578;
19:36:21.801,-0.39575,-0.03564,-0.92188;
19:36:21.811,-0.39624,-0.02734,-0.91968;
19:36:21.821,-0.39844,-0.01855,-0.91724;
19:36:21.831,-0.40161,-0.02148,-0.91772;
19:36:21.841,-0.40308,-0.02808,-0.91650;
19:36:21.851,-0.40503,-0.02295,-0.91626;
19:36:21.861,-0.40405,-0.01440,-0.92065;
19:36:21.871,-0.40771,-0.02783,-0.90723;
19:36:21.881,-0.40894,-0.03809,-0.90283;
19:36:21.891,-0.40869,-0.02930,-0.91211;
19:36:21.901,-0.40723,-0.03003,-0.91235;
19:36:21.911,-0.40454,-0.02930,-0.91431;
19:36:21.921,-0.40649,-0.02612,-0.91577;
19:36:21.931,-0.40332,-0.02661,-0.91553;
19:36:21.941,-0.40161,-0.02856,-0.91895;
19:36:21.951,-0.39941,-0.03540,-0.91846;
19:36:21.961,-0.39844,-0.03052,-0.91577;
19:36:21.971,-0.40186,-0.03735,-0.91382;
19:36:21.981,-0.40527,-0.04492,-0.91528;
19:36:21.991,-0.40894,-0.03882,-0.91602;
19:36:22.001,-0.41113,-0.03955,-0.91211;
19:36:22.011,-0.40991,-0.04590,-0.91382;
19:36:22.021,-0.40405,-0.04468,-0.91602;
19:36:22.031,-0.40088,-0.02979,-0.91675;
19:36:22.041,-0.40186,-0.02100,-0.91968;
19:36:22.051,-0.40234,-0.02344,-0.92285;
19:36:22.061,-0.40137,-0.02710,-0.92407;
19:36:22.071,-0.40308,-0.02466,-0.92212;
19:36:22.081,-0.40454,-0.01489,-0.91797;
19:36:22.091,-0.40479,-0.02441,-0.91309;
19:36:22.101,-0.40332,-0.02417,-0.91724;
19:36:22.111,-0.40381,-0.02783,-0.91235;
19:36:22.121,-0.40210,-0.02295,-0.90942;
19:36:22.131,-0.40210,-0.01904,-0.91284;
19:36:22.141,-0.40430,-0.02295,-0.91089;
19:36:22.151,-0.40527,-0.02808,-0.90527;
19:36:22.161,-0.40405,-0.02759,-0.91162;
19:36:22.171,-0.40210,-0.03223,-0.91992;
19:36:22.181,-0.40186,-0.04297,-0.92529;
19:36:22.191,-0.40210,-0.04077,-0.92700;
19:36:22.201,-0.39917,-0.03784,-0.92676;
19:36:22.211,-0.39502,-0.04126,-0.92749;
19:36:22.221,-0.39258,-0.04517,-0.92285;
19:36:22.231,-0.38672,-0.05371,-0.92383;
19:36:22.241,-0.39429,-0.04980,-0.93701;
19:36:22.251,-0.39795,-0.03101,-0.92798;
19:36:22.261,-0.39697,-0.04810,-0.92139;
19:36:22.271,-0.38867,-0.14893,-0.89282;
19:36:22.281,-0.36890,-0.15430,-0.93481;
19:36:22.291,-0.38135,0.06958,-0.99487;
19:36:22.301,-0.40259,0.07886,-0.90039;
19:36:22.311,-0.41675,-0.06494,-0.90894;
19:36:22.321,-0.41040,-0.03906,-0.94312;
19:36:22.331,-0.39673,-0.01074,-0.88867;
19:36:22.341,-0.42017,-0.04248,-0.91772;
19:36:22.351,-0.40381,-0.06104,-0.93628;
19:36:22.361,-0.38330,-0.04199,-0.91602;
19:36:22.371,-0.39209,-0.04175,-0.90967;
19:36:22.381,-0.39331,-0.03271,-0.91309;
19:36:22.391,-0.40039,-0.02808,-0.91602;
19:36:22.401,-0.39282,-0.04517,-0.90845;
19:36:22.411,-0.39160,-0.04712,-0.90259;
19:36:22.421,-0.39648,-0.04150,-0.90137;
19:36:22.431,-0.39453,-0.04834,-0.91016;
19:36:22.441,-0.39648,-0.03979,-0.91846;
19:36:22.451,-0.39722,-0.04126,-0.92529;
19:36:22.461,-0.39282,-0.03687,-0.93262;
19:36:22.471,-0.39478,-0.05176,-0.93066;
19:36:22.481,-0.39575,-0.04175,-0.92456;
19:36:22.491,-0.39795,-0.04492,-0.91235;
19:36:22.501,-0.40137,-0.04102,-0.91064;
19:36:22.511,-0.39380,-0.03564,-0.93091;
19:36:22.521,-0.39575,-0.03345,-0.91650;
19:36:22.531,-0.40063,-0.03125,-0.90942;
19:36:22.541,-0.40503,-0.02881,-0.91675;
19:36:22.551,-0.40161,-0.02905,-0.92017;
19:36:22.561,-0.39404,-0.03320,-0.91699;
19:36:22.571,-0.39111,-0.04199,-0.91357;
19:36:22.581,-0.39233,-0.05298,-0.91064;
19:36:22.591,-0.39624,-0.04224,-0.89600;
19:36:22.601,-0.40210,-0.03491,-0.89551;
19:36:22.611,-0.40308,-0.04761,-0.90332;
19:36:22.621,-0.40161,-0.05273,-0.90161;
19:36:22.631,-0.39917,-0.05518,-0.89722;
19:36:22.641,-0.39966,-0.07666,-0.89844;
19:36:22.651,-0.40503,-0.05933,-0.91821;
19:36:22.661,-0.40039,-0.02881,-0.92114;
19:36:22.671,-0.39331,-0.02734,-0.91357;
19:36:22.681,-0.39502,-0.04370,-0.91895;
19:36:22.691,-0.39453,-0.05762,-0.91748;
19:36:22.701,-0.39478,-0.05396,-0.91333;
19:36:22.711,-0.39697,-0.06006,-0.91772;
19:36:22.721,-0.39600,-0.06226,-0.91650;
19:36:22.731,-0.39087,-0.06030,-0.91357;
19:36:22.741,-0.39258,-0.06177,-0.91797;
19:36:22.751,-0.39526,-0.05908,-0.91333;
19:36:22.761,-0.39575,-0.04834,-0.91064;
19:36:22.771,-0.39990,-0.04395,-0.90942;
19:36:22.781,-0.40210,-0.04614,-0.89941;
19:36:22.791,-0.40503,-0.04004,-0.88867;
19:36:22.801,-0.40479,-0.02441,-0.87402;
19:36:22.811,-0.40918,-0.02026,-0.85571;
19:36:22.821,-0.40698,-0.02759,-0.84668;
19:36:22.831,-0.40308,-0.04688,-0.84644;
19:36:22.841,-0.39990,-0.06616,-0.84521;
19:36:22.851,-0.39502,-0.07886,-0.83984;
19:36:22.861,-0.39185,-0.08228,-0.84937;
19:36:22.871,-0.38696,-0.10010,-0.85303;
19:36:22.881,-0.37866,-0.09131,-0.87598;
19:36:22.891,-0.37085,-0.10156,-0.89722;
19:36:22.901,-0.35059,-0.10132,-0.91992;
19:36:22.911,-0.33276,-0.09155,-0.94165;
19:36:22.921,-0.33569,-0.11279,-0.95264;
19:36:22.931,-0.32495,-0.13672,-0.98560;
19:36:22.941,-0.30322,-0.14478,-1.01978;
19:36:22.951,-0.27026,-0.19116,-1.06689;
19:36:22.961,-0.27100,-0.22559,-1.04712;
19:36:22.971,-0.26953,-0.23364,-1.02466;
19:36:22.981,-0.28540,-0.20630,-1.00610;
19:36:22.991,-0.30444,-0.17993,-0.98926;
19:36:23.001,-0.31201,-0.16724,-0.97241;
19:36:23.011,-0.31982,-0.15845,-0.96216;
19:36:23.021,-0.32910,-0.13965,-0.94189;
19:36:23.031,-0.33691,-0.11377,-0.92041;
19:36:23.041,-0.34912,-0.09302,-0.90820;
19:36:23.051,-0.36060,-0.08008,-0.89258;
19:36:23.061,-0.36670,-0.07031,-0.87793;
19:36:23.071,-0.36987,-0.06470,-0.86792;
19:36:23.081,-0.37476,-0.06348,-0.87256;
19:36:23.091,-0.37695,-0.07104,-0.87866;
19:36:23.101,-0.37354,-0.07520,-0.88086;
19:36:23.111,-0.36743,-0.07031,-0.88574;
19:36:23.121,-0.36304,-0.07397,-0.89014;
19:36:23.131,-0.35474,-0.08423,-0.90649;
19:36:23.141,-0.34741,-0.10693,-0.92261;
19:36:23.151,-0.33691,-0.13232,-0.93823;
19:36:23.161,-0.33154,-0.13770,-0.94849;
19:36:23.171,-0.32935,-0.13403,-0.95410;
19:36:23.181,-0.32593,-0.14111,-0.96411;
19:36:23.191,-0.32080,-0.15210,-0.96924;
19:36:23.201,-0.31592,-0.16016,-0.97217;
19:36:23.211,-0.31470,-0.16260,-0.97754;
19:36:23.221,-0.31519,-0.15894,-0.97925;
19:36:23.231,-0.32202,-0.15698,-0.97144;
19:36:23.241,-0.32617,-0.14917,-0.96460;
19:36:23.251,-0.32593,-0.13989,-0.95898;
19:36:23.261,-0.32983,-0.13306,-0.95166;
19:36:23.271,-0.33521,-0.12793,-0.94360;
19:36:23.281,-0.34009,-0.11572,-0.92773;
19:36:23.291,-0.34473,-0.09570,-0.91846;
19:36:23.301,-0.35132,-0.08130,-0.91357;
19:36:23.311,-0.35913,-0.07544,-0.90942;
19:36:23.321,-0.36621,-0.08154,-0.90259;
19:36:23.331,-0.37158,-0.08179,-0.89600;
19:36:23.341,-0.37256,-0.07129,-0.89355;
19:36:23.351,-0.37158,-0.06323,-0.88794;
19:36:23.361,-0.36914,-0.05615,-0.88550;
19:36:23.371,-0.37207,-0.04883,-0.88843;
19:36:23.381,-0.37134,-0.05078,-0.89404;
19:36:23.391,-0.36426,-0.06641,-0.90210;
