time,acc_x,acc_y,acc_z
18:22:52.520,-0.57300,-0.46265,-0.70483;
18:22:52.530,-0.59619,-0.49414,-0.71338;
18:22:52.540,-0.63745,-0.44995,-0.72314;
18:22:52.550,-0.70142,-0.38452,-0.69434;
18:22:52.560,-0.77856,-0.26904,-0.64014;
18:22:52.570,-0.84961,-0.11816,-0.64697;
18:22:52.580,-0.88647,-0.07813,-0.72363;
18:22:52.590,-0.85498,-0.19629,-0.81152;
18:22:52.600,-0.79956,-0.38770,-0.85254;
18:22:52.610,-0.74072,-0.53662,-0.83447;
18:22:52.620,-0.69897,-0.57983,-0.76733;
18:22:52.630,-0.68579,-0.49146,-0.73828;
18:22:52.640,-0.66919,-0.34229,-0.75562;
18:22:52.650,-0.63354,-0.28369,-0.76074;
18:22:52.660,-0.59912,-0.32178,-0.77563;
18:22:52.670,-0.58545,-0.36890,-0.76270;
18:22:52.680,-0.49463,-0.42407,-0.81860;
18:22:52.690,-0.46997,-0.50610,-0.78589;
18:22:52.700,-0.47534,-0.53638,-0.72998;
18:22:52.710,-0.47388,-0.53491,-0.68823;
18:22:52.720,-0.44067,-0.54785,-0.67285;
18:22:52.730,-0.37817,-0.55957,-0.71338;
18:22:52.740,-0.36475,-0.53784,-0.72656;
18:22:52.750,-0.37207,-0.50439,-0.76489;
18:22:52.760,-0.46924,-0.45337,-0.86523;
18:22:52.770,-0.53735,-0.38232,-0.89673;
18:22:52.780,-0.62842,-0.27490,-0.90869;
18:22:52.790,-0.69775,-0.20166,-0.89600;
18:22:52.800,-0.71655,-0.19043,-0.86963;
18:22:52.810,-0.71313,-0.23462,-0.80664;
18:22:52.820,-0.68311,-0.33765,-0.69971;
18:22:52.830,-0.64307,-0.44653,-0.59326;
18:22:52.840,-0.59595,-0.51416,-0.53296;
18:22:52.850,-0.55664,-0.55713,-0.52954;
18:22:52.860,-0.51538,-0.54761,-0.56274;
18:22:52.870,-0.47095,-0.47778,-0.63892;
18:22:52.880,-0.46802,-0.38623,-0.72192;
18:22:52.890,-0.50806,-0.30298,-0.75610;
18:22:52.900,-0.57422,-0.27539,-0.75220;
18:22:52.910,-0.55786,-0.36182,-0.80225;
18:22:52.920,-0.56958,-0.41187,-0.82910;
18:22:52.930,-0.57446,-0.26611,-0.74536;
18:22:52.940,-0.58350,-0.22729,-0.60913;
18:22:52.950,-0.53687,-0.43872,-0.52368;
18:22:52.960,-0.50806,-0.46191,-0.47876;
18:22:52.970,-0.48389,-0.41284,-0.43091;
18:22:52.980,-0.45776,-0.35938,-0.41821;
18:22:52.990,-0.43188,-0.34229,-0.42993;
18:22:53.000,-0.40723,-0.32617,-0.45361;
18:22:53.010,-0.37744,-0.30298,-0.48193;
18:22:53.020,-0.37109,-0.26538,-0.49390;
18:22:53.030,-0.37866,-0.20972,-0.48901;
18:22:53.040,-0.37988,-0.15869,-0.48267;
18:22:53.050,-0.38501,-0.12427,-0.45825;
18:22:53.060,-0.38110,-0.12085,-0.45020;
18:22:53.070,-0.37598,-0.12427,-0.44507;
18:22:53.080,-0.36768,-0.11890,-0.45532;
18:22:53.090,-0.36963,-0.09985,-0.47388;
18:22:53.100,-0.37964,-0.07983,-0.47363;
18:22:53.110,-0.37988,-0.07373,-0.44824;
18:22:53.120,-0.38135,-0.06738,-0.40576;
18:22:53.130,-0.37964,-0.05322,-0.35718;
18:22:53.140,-0.38647,-0.02783,-0.30640;
18:22:53.150,-0.40942,0.03174,-0.26514;
18:22:53.160,-0.42358,0.09937,-0.26953;
18:22:53.170,-0.43311,0.16089,-0.28564;
18:22:53.180,-0.42725,0.24243,-0.28564;
18:22:53.190,-0.41577,0.26367,-0.26733;
18:22:53.200,-0.41577,0.35303,-0.25684;
18:22:53.210,-0.43726,0.54443,-0.21680;
18:22:53.220,-0.44873,0.67017,-0.18677;
18:22:53.230,-0.45239,0.77100,-0.16455;
18:22:53.240,-0.45605,0.81250,-0.18433;
18:22:53.250,-0.44019,0.80005,-0.21265;
18:22:53.260,-0.41870,0.78076,-0.21460;
18:22:53.270,-0.38208,0.78613,-0.21509;
18:22:53.280,-0.34424,0.84082,-0.24365;
18:22:53.290,-0.32080,0.89746,-0.28687;
18:22:53.300,-0.29517,0.90210,-0.32080;
18:22:53.310,-0.28003,0.89673,-0.34570;
18:22:53.320,-0.26050,0.86450,-0.35352;
18:22:53.330,-0.23340,0.79639,-0.36377;
18:22:53.340,-0.17700,0.74976,-0.39526;
